id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46972510,Cosy Villa near the Beach,120969200,Thais,,Kingborough,-42.99952,147.32143,Entire home/apt,200,3,1,2021-01-02,0.04,1,0,0,Exempt: This listing falls under the 'home sharing' exemption
46973116,"The Coach House at The White House, Westbury",28140743,Stephanie,,Meander Valley,-41.52937,146.82914,Entire home/apt,137,2,87,2023-02-26,3.30,1,267,44,Exempt: This listing falls under the 'home sharing' exemption
46988404,Mountainside Room with Spectacular View,191941513,Elizabeth,,Hobart,-42.92721,147.25231,Private room,121,1,215,2023-03-06,8.01,1,136,97,Exempt: This listing falls under the 'home sharing' exemption
47009157,"Pimelea - Absolute waterfront, Total Relaxation",360107341,Sam,,King Island,-39.98712,143.89794,Entire home/apt,760,2,15,2023-02-11,0.57,2,270,4,DA 16/1415
47009972,Studio1 with in room En-suite & Breakfast,193305482,Argyle,,Hobart,-42.87973,147.32938,Private room,229,1,57,2023-01-10,2.12,5,179,26,"Exempt: This listing is a hotel, motel, or caravan park"
47011766,Bruny Ocean Cottage,41429649,Steve,,Kingborough,-43.31556,147.24293,Entire home/apt,240,1,41,2023-02-12,2.31,1,336,27,DA2021 355
47017951,Farm Retreat - Private Cottage Amazing Sea Views,112303397,Gary And Penny,,Central Coast,-41.13518,146.06056,Entire home/apt,189,2,104,2023-02-26,3.91,1,352,60,Exempt: This listing falls under the 'home sharing' exemption
47031494,NEW  Breathtaking views Tranquil Oasis 3 Bed House,40372132,Genevieve,,Clarence,-42.90653,147.42165,Entire home/apt,300,3,8,2022-04-23,0.31,1,0,1,Exempt: This listing falls under the 'home sharing' exemption
47038111,Bright Water Lodge Farmstay,172279716,Indigo,,Break O'Day,-41.45169,147.77955,Entire home/apt,200,2,89,2023-02-24,3.80,1,328,37,0912012
47040148,Hawley House - Pet Friendly Stables Spa Room,76431945,Sophie,,Latrobe,-41.13897,146.54188,Private room,212,1,37,2023-02-04,1.41,3,276,21,"Exempt: This listing is a hotel, motel, or caravan park"
47041286,Kalinda on Four Mile,26033065,Robert,,Break O'Day,-41.55349,148.28514,Entire home/apt,248,2,77,2023-03-01,2.88,1,313,38,Exempt: This listing falls under the 'home sharing' exemption
47055766,Stieglitz Style,92557519,Donna,,Break O'Day,-41.32504,148.29407,Entire home/apt,180,2,27,2023-01-30,1.15,59,68,9,DA311-20
47056880,The Picker's Hut- Luxury Vineyard stay,203243951,Karen,,Southern Midlands,-42.65375,147.12457,Entire home/apt,750,2,20,2023-03-03,0.77,1,333,9,2019/85
47057907,Best location in Sandy Bay with 25m lap pool,53110572,Shane,,Hobart,-42.91848,147.35565,Entire home/apt,950,7,0,,,1,177,0,PLN-20-883
